frame, time,Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),
76,0.235971943887776,1.92285794840098,23.7177981600516,185.855532459765,57.436189402132,-31.6237308800687,-247.80737661302,59.6795236752665,-3.95296636000859,-30.9759220766275,0,0,0,0.640952649466995,7.90593272001719,61.951844153255,0,0,0,
77,0.239118236472946,1.99840376932977,24.3052027084369,187.534272535896,57.3354616408936,-32.4069369445825,-250.045696714528,59.6669327051117,-4.05086711807281,-31.255712089316,0,0,0,0.666134589776589,8.10173423614562,62.511424178632,0,0,0,
78,0.242264529058116,2.07580599694363,24.8978423596425,189.183279966339,57.2322586707418,-33.1971231461901,-252.244373288451,59.6540323338427,-4.14964039327376,-31.5305466610564,0,0,0,0.691935332314544,8.29928078654751,63.0610933221128,0,0,0,
79,0.245410821643287,2.1550809548104,25.4956231535379,190.802293308995,57.1265587269195,-33.9941642047172,-254.403057745326,59.6408198408649,-4.24927052558965,-31.8003822181658,0,0,0,0.718360318270134,8.49854105117929,63.6007644363315,0,0,0,
80,0.248557114228457,2.23624466958565,26.0984503148889,192.391055877183,57.0183404405525,-34.7979337531852,-256.521407836244,59.6272925550691,-4.34974171914815,-32.0651759795305,0,0,0,0.745414889861883,8.6994834382963,64.130351959061,0,0,0,
81,0.251703406813627,2.31931286847172,26.7062282683848,193.949315780335,56.9075828420377,-35.6083043578464,-258.599087707113,59.6134478552547,-4.4510380447308,-32.3248859633891,0,0,0,0.773104289490575,8.9020760894616,64.6497719267783,0,0,0,
82,0.254849699398798,2.4043009767243,27.3188606537907,195.476825963931,56.7942653643676,-36.4251475383875,-260.635767951908,59.599283170546,-4.55314344229844,-32.5794709939885,0,0,0,0.801433658908101,9.10628688459689,65.1589419879769,0,0,0,
83,0.257995991983968,2.49122411520677,27.9362503412251,196.97334424867,56.678367846391,-37.2483337883001,-262.631125664893,59.5847959807989,-4.65604172353751,-32.8288907081116,0,0,0,0.830408038402258,9.31208344707502,65.6577814162233,0,0,0,
84,0.261142284569138,2.58009709799291,28.5582994465595,198.438633368865,56.5598705360095,-38.0777325954127,-264.58484449182,59.5699838170012,-4.75971657442659,-33.0731055614775,0,0,0,0.860032365997636,9.51943314885318,66.1462111229551,0,0,0,
85,0.264288577154309,2.67093443001816,29.1849093469376,199.872461010062,56.4387540933091,-38.9132124625834,-266.496614680083,59.5548442616636,-4.86415155782293,-33.3120768350104,0,0,0,0.890311476672721,9.72830311564586,66.6241536700207,0,0,0,
86,0.267434869739479,2.76375030477998,29.8159806964108,201.274599845871,56.3149995936267,-39.7546409285478,-268.366133127828,59.5393749492033,-4.96933011606847,-33.5457666409785,0,0,0,0.921250101593327,9.93866023213694,67.0915332819569,0,0,0,
87,0.270581162324649,2.8585586020875,30.4514134416899,202.644827574006,56.18858853055,-40.6018845889199,-270.193103432009,59.5235735663188,-5.07523557361499,-33.7741379290011,0,0,0,0.952852867362499,10.15047114723,67.5482758580021,0,0,0,
88,0.27372745490982,2.95537288586094,31.0911068380074,203.982926951535,56.0595028188521,-41.4548091173433,-271.97723593538,59.5074378523565,-5.18185113966791,-33.9971544919225,0,0,0,0.985124295286982,10.3637022793358,67.994308983845,0,0,0,
89,0.27687374749499,3.05420640198118,31.7349594650904,205.288685829317,55.9277247973584,-42.3132792867872,-273.718247772422,59.4909655996698,-5.2891599108484,-34.2147809715528,0,0,0,1.01806880066039,10.5783198216968,68.4295619431055,0,0,0,
90,0.28002004008016,3.1550720761896,32.3828692432402,206.56189718564,55.7932372317472,-43.1771589909869,-275.415862914186,59.4741546539684,-5.39714487387336,-34.4269828642733,0,0,0,1.0516906920632,10.7942897477467,68.8539657285465,0,0,0,
91,0.283166332665331,3.25798251203882,33.0347334495165,207.802359159044,55.6560233172816,-44.046311266022,-277.069812212058,59.4570029146602,-5.50578890825274,-34.6337265265072,0,0,0,1.08599417067961,11.0115778165055,69.2674530530145,0,0,0,
92,0.286312625250501,3.36294998889449,33.6904487340237,209.009875080323,55.516066681474,-44.9205983120317,-278.679833440431,59.4395083351843,-5.61507478900396,-34.8349791800538,0,0,0,1.1209833296315,11.2301495780079,69.6699583601077,0,0,0,
93,0.289458917835671,3.46998645998838,34.3499111362967,210.184253503709,55.3733513866822,-45.7998815150623,-280.245671338279,59.4216689233353,-5.72498518938279,-35.0307089172848,0,0,0,1.15666215332946,11.4499703787656,70.0614178345696,0,0,0,
94,0.292605210420842,3.57910355052333,35.0130161017828,211.325308237221,55.2278619326356,-46.6840214690438,-281.767077649628,59.4034827415794,-5.83550268363047,-35.2208847062035,0,0,0,1.19303451684111,11.6710053672609,70.441769412407,0,0,0,
95,0.295751503006012,3.6903125558301,35.6796584984189,212.432858372188,55.0795832588932,-47.5728779978919,-283.243811162917,59.3849479073616,-5.94660974973648,-35.4054763953647,0,0,0,1.2301041852767,11.893219499473,70.8109527907293,0,0,0,
96,0.298897795591182,3.80362443957652,36.3497326332992,213.506728311929,54.9285007472313,-48.4663101777323,-284.675637749239,59.3660625934039,-6.05828877221654,-35.5844547186548,0,0,0,1.26787481319217,12.1165775444331,71.1689094373097,0,0,0,
97,0.302044088176353,3.91904983202932,37.0231322694328,214.546747799595,54.7746002239609,-49.3641763592437,-286.062330399459,59.3468250279951,-6.17052204490546,-35.7577912999324,0,0,0,1.30634994400977,12.3410440898109,71.5155825998648,0,0,0,
98,0.305190380761523,4.0365990283687,37.6997506425864,215.552751945159,54.6178679621751,-50.2663341901151,-287.403669260213,59.3272334952719,-6.28329177376439,-35.9254586575266,0,0,0,1.34553300945623,12.5665835475288,71.8509173150532,0,0,0,
99,0.308336673346693,4.15628198705608,38.3794804782119,216.524581251565,54.4582906839252,-51.1726406376158,-288.699441668754,59.3072863354907,-6.39658007970198,-36.0874302085942,0,0,0,1.38542732901869,12.793160159404,72.1748604171884,0,0,0,
100,0.311482965931864,4.27810832825529,39.0622140084539,217.462081640008,54.2958555623263,-52.0829520112719,-289.949442186677,59.2869819452908,-6.51036900140898,-36.2436802733347,0,0,0,1.42603610941843,13.020738002818,72.4873605466693,0,0,0,
101,0.314629258517034,4.40208733230726,39.7478429892358,218.365104474366,54.1305502235903,-52.9971239856478,-291.153472632488,59.2663187779488,-6.62464049820597,-36.394184079061,0,0,0,1.46736244410242,13.2492809964119,72.788368158122,0,0,0,
102,0.317775551102204,4.52822793825873,40.4362587174216,219.233506584767,53.9623627489884,-53.9150116232288,-292.311342113022,59.2452953436235,-6.7393764529036,-36.5389177641278,0,0,0,1.50940931275291,13.4787529058072,73.0778355282556,0,0,0,
103,0.320921843687375,4.65653874244498,41.1273520480498,220.067150290284,53.79128167674,-54.8364693973997,-293.422867053712,59.2239102095925,-6.85455867467496,-36.677858381714,0,0,0,1.55217958081499,13.7091173493499,73.355716763428,0,0,0,
104,0.324068136272545,4.78702799712692,41.8210134116381,220.865903420768,53.6172960038308,-55.7613512155175,-294.487871227691,59.2021620004789,-6.97016890193969,-36.8109839034614,0,0,0,1.59567599904231,13.9403378038794,73.6219678069228,0,0,0,
105,0.327214428857715,4.91970360918276,42.5171328315554,221.6296393378,53.4403951877563,-56.6895104420739,-295.506185783733,59.1800493984695,-7.08618880525924,-36.9382732229667,0,0,0,1.63990120306092,14.1723776105185,73.8765464459333,0,0,0,
106,0.330360721442886,5.05457313885438,43.2155999414574,222.358236954769,53.2605691481942,-57.6207999219432,-296.477649273025,59.1575711435243,-7.2025999902429,-37.0597061591281,0,0,0,1.68485771295146,14.4051999804858,74.1194123182562,0,0,0,
107,0.333507014028056,5.19164379854871,43.9163040027851,223.05158075607,53.0778082686017,-58.5550720037134,-297.40210767476,59.1347260335752,-7.31938400046418,-37.175263459345,0,0,0,1.73054793284957,14.6387680009284,74.35052691869,0,0,0,
108,0.336653306613226,5.33092245169423,44.6191339223217,223.709560815421,52.892103397741,-59.4921785630956,-298.279414420561,59.1115129247176,-7.43652232038695,-37.2849268025701,0,0,0,1.77697415056474,14.8730446407739,74.5698536051403,0,0,0,
109,0.339799599198397,5.47241561165283,45.3239782698061,224.332072813287,52.7034458511296,-60.4319710264081,-299.109430417716,59.0879307313912,-7.55399637830102,-37.3886788022145,0,0,0,1.82413853721761,15.107992756602,74.7773576044289,0,0,0,
110,0.342945891783567,5.61612944068709,46.0307252955992,224.919018053422,52.5118274124172,-61.3743003941323,-299.89202407123,59.0639784265522,-7.67178754926654,-37.4865030089037,0,0,0,1.8720431468957,15.3435750985331,74.9730060178074,0,0,0,
